,property,beds,showers,garages,area,description,currency,price,rent_period,url,address,time_posted
28,5 bedroom furnished house for rent at Amrahia,5,5,0,0,"A 5 bedroom house in Amrahia. It has 5 bathrooms, a nicely f...",Price[Price,disclosed,on,https://meqasa.com/house-for-rent-at-Amrahia-080665?y=866419323, Amrahia,
29,3 bedroom house for rent at Osu,3,2,0,0,"Three bedroom house,living room,kitchen 2 bath ,beautiful ga...",$,"4,000",/,https://meqasa.com/house-for-rent-at-Osu-101329?y=866419323, Osu,
30,4 bedroom furnished townhouse for rent at Airport Residential Area,4,4,2,275 m2,Elegant brand new 4 bedroom luxury TownHouse located in Airp...,$,"4,000",/,https://meqasa.com/townhouse-for-rent-at-Airport-Residential-Area-087506?y=866419323, Airport Residential Area,
31,"5 bedroom house for rent at Accra,Mariville Home in Gated community off Spintex road",5,5,2,0,4Bedrooms with One Bedrooms Boys Quarters Self compound Hous...,$,"1,000",/,"https://meqasa.com/house-for-rent-at-Accra,Mariville-Home-in-Gated-community-off-Spintex-road-039781?y=866419323"," Accra,Mariville Home in G",
32,4 bedroom townhouse for rent at Cantonments,4,4,0,0,"A unique home built, to give residents comfort and style. Th...",GH₵,"22,000",/,https://meqasa.com/townhouse-for-rent-at-Cantonments-103616?y=866419323, Cantonments,
33,4 bedroom furnished house for rent at Atomic Down,4,5,0,0,Available for rent is a 4 bedrooms house for rent at Dome ro...,$,"1,200",/,https://meqasa.com/house-for-rent-at-Atomic-Down-104095?y=866419323, Atomic Down,
34,3 bedroom house for rent at Spintex,3,2,1,0,"This is a house located at Regimanuel Gray Estate, East Airp...",$,"1,500",/,https://meqasa.com/house-for-rent-at-Spintex-105146?y=866419323, Spintex,
35,2 bedroom house for rent at Prampram,2,1,2,72 m2,Enjoy serene lifestyle in this well planned gated community ...,GH₵,"1,100",/,https://meqasa.com/house-for-rent-at-Prampram-104879?y=866419323, Prampram,
36,3 bedroom house for rent at East Legon American House,3,3,0,0,Three bedroom house for rent at America house East legon @10...,GH₵,"1,000",/,https://meqasa.com/house-for-rent-at-East-Legon-American-House-105104?y=866419323, East Legon American House,
37,4 bedroom townhouse for rent at Airport Residential Area,4,4,0,0,This lovely four bedroom townhouse is located in the quiet n...,GH₵,"24,750",/,https://meqasa.com/townhouse-for-rent-at-Airport-Residential-Area-102268?y=866419323, Airport Residential Area,
38,4 bedroom house for rent at Dzorwulu,4,3,0,0,"DESCRIPTION

- AIR-CONDITIONING 
- ELECTRIC FENCE 
- SWI...",Price[Price,disclosed,on,https://meqasa.com/house-for-rent-at-Dzorwulu-008440?y=866419323, Dzorwulu,
39,5 bedroom house for rent at Community 22,5,6,0,0,This beautiful 5 bedroom house with all rooms en-suite is up...,$,"1,500",/,https://meqasa.com/house-for-rent-at-Community-22-100582?y=866419323, Community 22,
40,4 bedroom townhouse for rent at Cantonments,4,5,0,0,"Located in Cantoments, is this 4-bedroom well built townhous...",$,"4,800",/,https://meqasa.com/townhouse-for-rent-at-Cantonments-083333?y=866419323, Cantonments,
41,5 bedroom house for rent at Regimanuel Estates Spintex Road,5,5,2,100 m2,"For rent
Executive 5 bedroom house with  
2bedroom boys quar...",$,"2,000",,https://meqasa.com/house-for-rent-at-Regimanuel-Estates-Spintex-Road-087373?y=866419323, Regimanuel Est,
42,"4 bedroom house for rent at East Airport, Accra",4,4,0,0,4 bedroom Mansion with boys quarters and security post guest...,$,"1,600",/,"https://meqasa.com/house-for-rent-at-East-Airport,-Accra,-Ghana-077540?y=866419323"," East Airport, Accra",
43,"4 bedroom house for rent at East Legon Hills, Accra, ",4,4,0,0,The house is located in East Legon around East Legon hills. ...,$,"1,600",/,"https://meqasa.com/house-for-rent-at-East-Legon-Hills,-Accra,--040152?y=866419323"," East Legon Hills, Accra, ",
44,"5 bedroom house for rent at SPINTEX SAKUMONO ROAD, ACCRA",5,5,5,0,"Price is GH¢ 14,250 ($3,000) negotiable per month.
Please n...",$,"3,000",/,"https://meqasa.com/house-for-rent-at-SPINTEX-SAKUMONO-ROAD,-ACCRA,-GHANA-103080?y=866419323"," SPINTEX SAKUMONO ROAD, ACCRA",
45,4 bedroom house for rent at Cantonments,4,,0,0,This cosy executive 4 Bedroom with en suite bathrooms with w...,$,"8,000",/,https://meqasa.com/house-for-rent-at-Cantonments-065788?y=866419323, Cantonments,
46,4 bedroom house for rent at Cantonments,4,,0,0,A fantastic 4-bedroom house presented in an excellent condit...,$,"4,200",/,https://meqasa.com/house-for-rent-at-Cantonments-065784?y=866419323, Cantonments,
47,"4 bedroom house for rent at East Airport, Accra",4,44,0,0,Luxurious 4 bedrooms house with swimming pool for sale in Ea...,$,"3,000",/,"https://meqasa.com/house-for-rent-at-East-Airport,-Accra-Ghana-034392?y=866419323"," East Airport, Accra",
48,3 bedroom house for rent at Cantonments,3,,0,0,A Luring residential facility designed with modern facilitie...,$,"3,500",/,https://meqasa.com/house-for-rent-at-Cantonments-065790?y=866419323, Cantonments,
49,4 bedroom house for rent at Cantonments,4,,0,0,"Situated in a safe area, this wonderful 4 bedroom is a premi...",$,"6,500",/,https://meqasa.com/house-for-rent-at-Cantonments-065786?y=866419323, Cantonments,
50,4 bedroom house for rent at Cantonments,4,4,0,0,A Contemporary newly built town house in the great area of C...,$,"6,500",/,https://meqasa.com/house-for-rent-at-Cantonments-065752?y=866419323, Cantonments,
51,"5 bedroom house for rent at East Legon,Accra",5,5,0,400 m2,"Price is GH¢18,900 ($3,500) negotiable
Please note that thi...",$,"3,500",/,"https://meqasa.com/house-for-rent-at-East-Legon,Accra,Ghana-103141?y=866419323"," East Legon,Accra",
52,4 bedroom house for rent at cantonments,4,5,1,0,Westfields Real Estate offers for rent this nicely refurbish...,$,"3,500",/,https://meqasa.com/house-for-rent-at-cantonments-086627?y=866419323, cantonments,
53,"1 bedroom furnished house for rent at AIRPORT HILLS, ACCRA",1,1,0,0,"The price is ($250) negotiable  a night, including a car(Hon...",$,250,/,"https://meqasa.com/house-for-rent-at-AIRPORT-HILLS,-ACCRA,-GHANA-107411?y=866419323"," AIRPORT HILLS, ACCRA",
54,"5 bedroom house for rent at Airport Residential Area,Accra",5,5,8,550 m2,"Price is GH¢ 56,700 ($10,500) per month, negotiable.
Please...",$,"10,500",/,"https://meqasa.com/house-for-rent-at-Airport-Residential-Area,Accra,Ghana-103124?y=866419323"," Airport Residential Area,Accra",
55,"3 bedroom house for rent at Cantonments, Accra",3,3,6,280 m2,"Price is GH¢ 23,750 ($5,000) per month, negotiable without p...",$,"5,500",/,"https://meqasa.com/house-for-rent-at-Cantonments,-Accra,-Ghana-103116?y=866419323"," Cantonments, Accra",
56,"3 bedroom house for rent at Airport Hills, Accra",3,3,2,330 m2,"Price is GH¢ 8,586 ($ 1,590) negotiable per month
Please no...",$,"1,590",/,"https://meqasa.com/house-for-rent-at-Airport-Hills,-Accra,-Ghana-074750?y=866419323"," Airport Hills, Accra",
57,"3 bedroom house for rent at Cantonments, off the togo emnassy",3,,8,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,"4,500",/,"https://meqasa.com/house-for-rent-at-Cantonments,-off-the-togo-emnassy-064764?y=866419323"," Cantonments, off the togo emnassy",
58,4 bedroom furnished house for rent at Cantonments,4,3,1,0,"1.BEAUTIFUL 4BEDROOM HOUSES WITH 2BEDROOM OUTER HOUSE 

2....","7,200",month,https://meqasa.com/house-for-rent-at-Cantonments-001929?y=638743556, Cantonments,,4 bedroom house for rent at au village
59,4,5,5,0,"4 Bedroom House for Rent at Cantonments

Please contact us f...","4,500",month,https://meqasa.com/house-for-rent-at-au-village-064938?y=638743556, au village,,4 bedroom house for rent at former dstv lane,4
60,5,7,0,"1.Very secure location with 24/7 security post 

2 . modern ...","4,000",month,https://meqasa.com/house-for-rent-at-former-dstv-lane-065100?y=638743556, former dstv lane,,5 bedroom house for rent at Roman Ridge,5,
61,0,0,"This executive 5 bedroom is offered for rent at Roman Ridge,...","15,000",month,https://meqasa.com/house-for-rent-at-Roman-Ridge-064897?y=638743556, Roman Ridge,,5 bedroom house for rent at Cantoments,5,,4
62,0,"1.very secure location with 24/7 security post 
 
 2.modern ...","5,000",month,https://meqasa.com/house-for-rent-at-Cantoments-064765?y=638743556, Cantoments,,"4 bedroom house for rent at Cantonments,Accra",4,4,3,400 m2
63,"Price is GHc20,020 ($4,550) per month, negotiable.
Please n...","4,500",month,"https://meqasa.com/house-for-rent-at-Cantonments,Accra,Ghana-103042?y=638743556"," Cantonments,Accra",,"3 bedroom house for rent at Osu,Accra",3,3,0,0,"Price is GH¢ 14,400 ($3,000) per month.
Please note that th..."
